,weight,height,label,predict
187,0.47,0.86,thin,thin
188,0.4,0.865,thin,thin
189,0.51,0.885,thin,thin
190,0.48,0.935,thin,thin
191,0.67,0.96,thin,thin
192,0.65,0.65,fat,fat
193,0.63,0.99,thin,thin
194,0.67,0.82,normal,normal
195,0.67,0.81,fat,fat
196,0.42,0.655,normal,normal
197,0.68,0.885,normal,normal
198,0.39,0.71,normal,normal
199,0.79,0.65,fat,fat
200,0.72,0.705,fat,fat
201,0.47,0.865,thin,thin
202,0.44,0.85,thin,thin
203,0.46,0.725,normal,normal
204,0.36,0.83,thin,thin
205,0.57,0.74,fat,fat
206,0.62,0.6,fat,fat
207,0.69,1.0,thin,thin
208,0.61,0.95,thin,thin
209,0.41,0.93,thin,thin
210,0.71,0.89,normal,normal
211,0.45,0.625,fat,fat
212,0.45,0.95,thin,thin
213,0.63,0.62,fat,fat
214,0.78,0.655,fat,fat
215,0.69,0.825,fat,fat
216,0.45,0.94,thin,thin
217,0.72,0.98,normal,normal
218,0.35,0.955,thin,thin
219,0.49,0.75,normal,normal
220,0.73,0.815,fat,fat
221,0.6,0.8,normal,normal
222,0.78,0.755,fat,fat
223,0.41,0.6,fat,fat
224,0.53,0.89,thin,thin
225,0.44,0.775,thin,thin
226,0.51,0.765,normal,normal
227,0.49,0.945,thin,thin
228,0.67,0.84,normal,normal
229,0.72,1.0,thin,normal
230,0.65,0.98,thin,thin
231,0.76,0.825,fat,fat
232,0.73,0.99,normal,normal
233,0.58,0.995,thin,thin
234,0.53,0.85,thin,thin
235,0.42,0.67,normal,normal
236,0.45,0.74,normal,normal
237,0.36,0.79,thin,thin
238,0.78,0.72,fat,fat
239,0.38,0.7,normal,normal
240,0.68,0.81,fat,fat
241,0.6,0.735,fat,fat
242,0.49,0.93,thin,thin
243,0.58,0.92,thin,thin
244,0.76,0.69,fat,fat
245,0.8,0.765,fat,fat
246,0.48,0.875,thin,thin
247,0.71,0.65,fat,fat
248,0.75,0.81,fat,fat
249,0.58,0.715,fat,fat
250,0.53,0.87,thin,thin
251,0.66,0.66,fat,fat
252,0.5,0.79,normal,normal
253,0.5,0.67,fat,fat
254,0.8,0.985,normal,normal
255,0.38,0.92,thin,thin
256,0.36,0.62,normal,normal
257,0.58,0.905,thin,thin
258,0.68,0.73,fat,fat
259,0.41,0.955,thin,thin
260,0.65,0.705,fat,fat
261,0.59,0.835,normal,normal
262,0.57,0.99,thin,thin
263,0.62,0.92,thin,thin
264,0.44,0.625,fat,fat
265,0.49,0.74,normal,normal
266,0.75,0.695,fat,fat
267,0.61,0.93,thin,thin
268,0.69,0.94,normal,normal
269,0.49,0.945,thin,thin
270,0.68,0.9,normal,normal
271,0.7,0.815,fat,fat
272,0.41,0.82,thin,thin
273,0.48,0.69,fat,fat
274,0.35,0.625,normal,normal
275,0.4,0.79,thin,thin
276,0.66,0.735,fat,fat
277,0.58,0.805,normal,normal
278,0.55,0.72,fat,fat
279,0.63,0.96,thin,thin
280,0.36,0.625,normal,normal
281,0.79,0.725,fat,fat
282,0.72,0.69,fat,fat
283,0.37,0.82,thin,thin
284,0.59,0.93,thin,thin
285,0.66,0.71,fat,fat
286,0.35,0.79,thin,thin
287,0.46,0.73,normal,normal
288,0.54,0.72,fat,fat
289,0.68,0.62,fat,fat
290,0.46,0.83,thin,thin
291,0.79,0.94,normal,normal
292,0.64,0.9,normal,normal
293,0.73,0.83,fat,fat
294,0.6,0.955,thin,thin
295,0.38,0.85,thin,thin
296,0.71,0.72,fat,fat
297,0.65,0.825,normal,normal
298,0.57,0.935,thin,thin
299,0.47,0.705,normal,normal
300,0.52,0.825,normal,normal
301,0.78,0.91,normal,normal
302,0.61,0.98,thin,thin
303,0.76,0.775,fat,fat
304,0.47,0.73,normal,normal
305,0.49,0.825,thin,thin
306,0.71,0.855,normal,normal
307,0.65,0.94,thin,normal
308,0.68,0.605,fat,fat
309,0.66,0.695,fat,fat
310,0.36,0.92,thin,thin
311,0.48,0.61,fat,fat
312,0.35,0.965,thin,thin
313,0.69,0.895,normal,normal
314,0.79,0.895,normal,normal
315,0.78,0.785,fat,fat
316,0.66,0.945,thin,normal
317,0.65,0.99,thin,thin
318,0.56,0.85,normal,normal
319,0.76,0.765,fat,fat
320,0.41,0.645,normal,normal
321,0.8,0.86,fat,fat
322,0.79,0.675,fat,fat
323,0.79,0.98,normal,normal
324,0.42,0.835,thin,thin
325,0.65,0.9,normal,normal
326,0.55,0.915,thin,thin
327,0.66,0.735,fat,fat
328,0.75,0.755,fat,fat
329,0.35,0.85,thin,thin
330,0.73,0.89,normal,normal
331,0.63,0.765,fat,fat
332,0.43,0.855,thin,thin
333,0.6,0.81,normal,normal
334,0.56,0.62,fat,fat
335,0.41,0.815,thin,thin
336,0.42,0.63,fat,fat
337,0.62,0.8,normal,normal
338,0.48,0.985,thin,thin
339,0.59,0.69,fat,fat
340,0.68,0.895,normal,normal
341,0.38,0.9,thin,thin
342,0.74,0.635,fat,fat
343,0.69,0.93,normal,normal
344,0.76,0.745,fat,fat
345,0.51,0.79,normal,normal
346,0.37,0.865,thin,thin
347,0.61,0.78,fat,normal
348,0.64,0.69,fat,fat
349,0.72,0.675,fat,fat
350,0.79,1.0,normal,normal
351,0.48,0.85,thin,thin
352,0.62,0.825,normal,normal
353,0.79,0.79,fat,fat
354,0.57,0.82,normal,normal
355,0.59,0.725,fat,fat
356,0.69,0.91,normal,normal
357,0.43,0.975,thin,thin
358,0.57,0.795,normal,normal
359,0.43,0.9,thin,thin
360,0.39,0.96,thin,thin
361,0.79,0.915,normal,normal
362,0.8,0.65,fat,fat
363,0.56,0.775,normal,normal
364,0.78,0.8,fat,fat
365,0.42,0.835,thin,thin
366,0.51,0.725,normal,normal
367,0.48,0.655,fat,fat
368,0.67,0.9,normal,normal
369,0.53,0.995,thin,thin
370,0.72,0.62,fat,fat
371,0.45,0.845,thin,thin
372,0.62,0.85,normal,normal
373,0.66,0.89,normal,normal
374,0.79,0.65,fat,fat
375,0.74,0.945,normal,normal
376,0.41,0.65,normal,normal
377,0.76,0.825,fat,fat
378,0.76,0.76,fat,fat
379,0.74,0.705,fat,fat
380,0.54,0.85,normal,normal
381,0.43,0.765,thin,thin
382,0.47,0.655,fat,fat
383,0.41,0.97,thin,thin
384,0.77,0.885,normal,normal
385,0.65,0.735,fat,fat
386,0.64,0.915,normal,normal
387,0.58,0.92,thin,thin
388,0.41,0.7,normal,normal
389,0.59,0.795,normal,normal
390,0.69,0.64,fat,fat
391,0.38,0.83,thin,thin
392,0.46,0.83,thin,thin
393,0.47,0.8,thin,thin
394,0.65,0.66,fat,fat
395,0.45,0.705,normal,normal
396,0.55,0.66,fat,fat
397,0.41,0.74,normal,normal
398,0.4,0.98,thin,thin
399,0.4,0.67,normal,normal
400,0.47,0.93,thin,thin
401,0.57,0.65,fat,fat
402,0.62,0.88,normal,normal
403,0.77,0.615,fat,fat
404,0.61,0.93,thin,thin
405,0.44,0.955,thin,thin
406,0.58,0.945,thin,thin
407,0.59,0.75,fat,fat
408,0.49,0.965,thin,thin
409,0.44,1.0,thin,thin
410,0.44,0.735,normal,normal
411,0.61,0.645,fat,fat
412,0.74,0.735,fat,fat
413,0.6,0.69,fat,fat
414,0.49,0.75,normal,normal
415,0.48,0.63,fat,fat
416,0.5,0.965,thin,thin
417,0.64,0.875,normal,normal
418,0.52,0.895,thin,thin
419,0.8,0.735,fat,fat
420,0.54,0.685,fat,fat
421,0.67,0.965,thin,thin
422,0.61,0.955,thin,thin
423,0.5,0.755,normal,normal
424,0.4,0.93,thin,thin
425,0.65,0.625,fat,fat
426,0.51,0.91,thin,thin
427,0.48,0.89,thin,thin
428,0.5,0.605,fat,fat
429,0.73,0.74,fat,fat
430,0.63,0.605,fat,fat
431,0.72,0.94,normal,normal
432,0.78,0.895,normal,normal
433,0.78,0.85,fat,fat
434,0.57,0.985,thin,thin
435,0.74,0.99,normal,normal
436,0.57,0.8,normal,normal
437,0.43,0.87,thin,thin
438,0.5,0.665,fat,fat
439,0.36,0.85,thin,thin
440,0.68,0.815,fat,fat
441,0.55,0.935,thin,thin
442,0.71,0.81,fat,fat
443,0.72,0.64,fat,fat
444,0.37,0.62,normal,normal
445,0.63,0.9,normal,normal
446,0.76,0.935,normal,normal
447,0.68,0.99,thin,thin
448,0.56,0.83,normal,normal
449,0.41,1.0,thin,thin
450,0.71,0.75,fat,fat
451,0.43,0.985,thin,thin
452,0.48,0.62,fat,fat
453,0.63,0.915,normal,normal
454,0.64,0.615,fat,fat
455,0.35,0.63,normal,normal
456,0.66,0.695,fat,fat
457,0.64,0.92,normal,normal
458,0.71,0.885,normal,normal
459,0.74,0.92,normal,normal
460,0.62,0.815,normal,normal
461,0.48,0.72,normal,normal
462,0.58,0.845,normal,normal
463,0.58,0.625,fat,fat
464,0.38,0.635,normal,normal
465,0.76,0.82,fat,fat
466,0.67,0.985,thin,thin
467,0.4,0.88,thin,thin
468,0.63,0.78,fat,fat
469,0.54,0.915,thin,thin
470,0.76,0.635,fat,fat
471,0.67,0.68,fat,fat
472,0.42,0.655,normal,normal
473,0.35,0.815,thin,thin
474,0.4,0.92,thin,thin
475,0.55,0.945,thin,thin
476,0.63,0.92,normal,normal
477,0.6,0.73,fat,fat
478,0.4,0.76,thin,thin
479,0.65,0.94,thin,normal
480,0.36,0.63,normal,normal
481,0.41,0.62,fat,fat
482,0.69,0.73,fat,fat
483,0.44,0.97,thin,thin
484,0.62,0.905,normal,normal
485,0.46,0.8,thin,thin
486,0.6,0.695,fat,fat
487,0.68,0.845,normal,normal
488,0.73,0.85,fat,fat
489,0.78,0.84,fat,fat
490,0.62,0.655,fat,fat
491,0.65,0.645,fat,fat
492,0.46,0.91,thin,thin
493,0.41,0.995,thin,thin
494,0.57,0.67,fat,fat
495,0.69,0.855,normal,normal
496,0.41,0.82,thin,thin
497,0.58,0.73,fat,fat
498,0.62,0.995,thin,thin
499,0.69,0.77,fat,fat
500,0.45,0.755,normal,normal
501,0.57,0.725,fat,fat
502,0.69,0.85,normal,normal
503,0.4,0.765,thin,thin
504,0.59,0.615,fat,fat
505,0.56,0.98,thin,thin
506,0.59,0.845,normal,normal
507,0.37,0.725,thin,thin
508,0.68,0.62,fat,fat
509,0.6,0.705,fat,fat
510,0.52,0.655,fat,fat
511,0.54,0.735,normal,normal
512,0.7,0.805,fat,fat
513,0.69,0.635,fat,fat
514,0.8,0.955,normal,normal
515,0.51,0.72,normal,normal
516,0.36,1.0,thin,thin
517,0.47,0.665,fat,fat
518,0.8,0.785,fat,fat
519,0.52,0.92,thin,thin
520,0.51,0.92,thin,thin
521,0.52,0.825,normal,normal
522,0.78,0.785,fat,fat
523,0.52,0.91,thin,thin
524,0.38,0.91,thin,thin
525,0.53,0.905,thin,thin
526,0.63,0.815,normal,normal
527,0.76,0.79,fat,fat
528,0.58,0.615,fat,fat
529,0.48,0.94,thin,thin
530,0.69,0.865,normal,normal
531,0.53,0.715,fat,fat
532,0.43,0.75,normal,normal
533,0.67,0.645,fat,fat
534,0.62,0.835,normal,normal
535,0.68,0.89,normal,normal
536,0.51,0.725,normal,normal
537,0.65,0.71,fat,fat
538,0.54,0.765,normal,normal
539,0.54,0.755,normal,normal
540,0.65,0.635,fat,fat
541,0.67,0.84,normal,normal
542,0.66,0.72,fat,fat
543,0.78,0.81,fat,fat
544,0.43,0.97,thin,thin
545,0.6,0.765,fat,fat
546,0.71,0.785,fat,fat
547,0.64,0.98,thin,thin
548,0.37,0.89,thin,thin
549,0.56,0.625,fat,fat
550,0.37,0.605,fat,fat
551,0.54,0.97,thin,thin
552,0.7,0.945,normal,normal
553,0.8,0.86,fat,fat
554,0.79,0.875,fat,fat
555,0.63,0.61,fat,fat
556,0.38,0.605,fat,fat
557,0.49,0.835,thin,thin
558,0.53,0.89,thin,thin
559,0.66,0.76,fat,fat
560,0.7,0.875,normal,normal
561,0.54,0.705,fat,fat
562,0.64,0.735,fat,fat
563,0.49,0.7,fat,normal
564,0.54,0.9,thin,thin
565,0.71,0.685,fat,fat
566,0.56,0.915,thin,thin
567,0.41,0.94,thin,thin
568,0.54,0.785,normal,normal
569,0.77,0.915,normal,normal
570,0.58,0.745,fat,fat
571,0.65,0.775,fat,fat
572,0.56,0.93,thin,thin
573,0.73,0.735,fat,fat
574,0.78,0.61,fat,fat
575,0.36,0.835,thin,thin
576,0.45,0.88,thin,thin
577,0.49,0.84,thin,thin
578,0.44,0.645,fat,fat
579,0.75,0.695,fat,fat
580,0.44,0.725,normal,normal
581,0.71,0.63,fat,fat
582,0.7,0.68,fat,fat
583,0.7,0.895,normal,normal
584,0.41,0.665,normal,normal
585,0.59,0.97,thin,thin
586,0.58,0.945,thin,thin
587,0.67,0.605,fat,fat
588,0.52,0.695,fat,fat
589,0.5,0.855,thin,thin
590,0.59,0.825,normal,normal
591,0.56,0.69,fat,fat
592,0.78,0.965,normal,normal
593,0.69,0.97,thin,normal
594,0.47,0.93,thin,thin
595,0.79,0.71,fat,fat
596,0.46,0.64,fat,fat
597,0.53,0.87,thin,thin
598,0.37,0.81,thin,thin
599,0.61,0.68,fat,fat
600,0.78,0.835,fat,fat
601,0.54,0.75,normal,normal
602,0.52,0.61,fat,fat
603,0.45,0.645,fat,fat
604,0.65,0.625,fat,fat
605,0.51,0.72,normal,normal
606,0.38,0.97,thin,thin
607,0.53,0.78,normal,normal
608,0.39,0.735,thin,thin
609,0.43,0.945,thin,thin
610,0.55,0.87,thin,thin
611,0.63,0.82,normal,normal
612,0.54,0.9,thin,thin
613,0.63,0.955,thin,thin
614,0.4,0.7,normal,normal
615,0.63,0.65,fat,fat
616,0.54,0.73,fat,fat
617,0.4,0.815,thin,thin
618,0.69,0.76,fat,fat
619,0.35,0.93,thin,thin
620,0.62,0.625,fat,fat
621,0.37,0.63,normal,normal
622,0.75,0.885,normal,normal
623,0.64,0.755,fat,fat
624,0.62,0.87,normal,normal
625,0.48,0.79,normal,normal
626,0.37,0.73,thin,thin
627,0.61,0.955,thin,thin
628,0.47,0.94,thin,thin
629,0.47,0.935,thin,thin
630,0.71,0.815,fat,fat
631,0.39,0.94,thin,thin
632,0.68,0.78,fat,fat
633,0.48,0.98,thin,thin
634,0.72,0.675,fat,fat
635,0.63,0.705,fat,fat
636,0.62,0.61,fat,fat
637,0.73,0.65,fat,fat
638,0.6,0.96,thin,thin
639,0.48,0.695,normal,normal
640,0.41,0.905,thin,thin
641,0.45,0.92,thin,thin
642,0.55,0.66,fat,fat
643,0.54,0.745,normal,normal
644,0.64,0.78,fat,fat
645,0.54,0.69,fat,fat
646,0.5,0.92,thin,thin
647,0.77,0.94,normal,normal
648,0.45,0.715,normal,normal
649,0.65,0.66,fat,fat
650,0.4,0.665,normal,normal
651,0.45,0.845,thin,thin
652,0.57,0.81,normal,normal
653,0.51,0.95,thin,thin
654,0.56,0.855,normal,normal
655,0.78,0.905,normal,normal
656,0.5,0.805,normal,normal
657,0.55,0.86,normal,thin
658,0.45,0.945,thin,thin
659,0.49,0.61,fat,fat
660,0.73,0.935,normal,normal
661,0.63,0.89,normal,normal
662,0.52,0.84,thin,thin
663,0.66,0.62,fat,fat
664,0.39,0.92,thin,thin
665,0.37,0.665,normal,normal
666,0.64,0.615,fat,fat
667,0.51,0.655,fat,fat
668,0.74,0.99,normal,normal
669,0.35,1.0,thin,thin
670,0.54,0.86,thin,thin
671,0.37,0.85,thin,thin
672,0.42,0.735,normal,normal
673,0.54,0.825,normal,normal
674,0.37,0.625,normal,normal
675,0.72,0.995,thin,normal
676,0.65,0.88,normal,normal
677,0.76,0.6,fat,fat
678,0.48,0.67,fat,fat
679,0.62,0.995,thin,thin
680,0.47,0.95,thin,thin
681,0.74,0.88,normal,normal
682,0.54,0.985,thin,thin
683,0.43,0.86,thin,thin
684,0.45,0.79,thin,thin
685,0.78,0.755,fat,fat
686,0.44,0.815,thin,thin
687,0.66,0.87,normal,normal
688,0.39,0.955,thin,thin
689,0.4,0.7,normal,normal
690,0.52,0.69,fat,fat
691,0.56,0.695,fat,fat
692,0.51,0.62,fat,fat
693,0.72,0.655,fat,fat
694,0.6,0.995,thin,thin
695,0.38,0.655,normal,normal
696,0.72,0.805,fat,fat
697,0.58,0.705,fat,fat
698,0.55,0.7,fat,fat
699,0.54,0.84,normal,normal
700,0.69,0.815,fat,fat
701,0.55,0.945,thin,thin
702,0.47,0.725,normal,normal
703,0.72,0.92,normal,normal
704,0.41,0.76,thin,thin
705,0.8,0.645,fat,fat
706,0.8,0.625,fat,fat
707,0.74,0.8,fat,fat
708,0.74,0.92,normal,normal
709,0.48,0.805,normal,thin
710,0.48,0.905,thin,thin
711,0.54,0.825,normal,normal
712,0.58,0.91,thin,thin
713,0.78,0.845,fat,fat
714,0.36,0.835,thin,thin
715,0.48,0.82,thin,thin
716,0.7,0.645,fat,fat
717,0.63,0.81,normal,normal
718,0.53,0.78,normal,normal
719,0.76,0.625,fat,fat
720,0.59,0.835,normal,normal
721,0.55,0.775,normal,normal
722,0.56,0.6,fat,fat
723,0.47,0.99,thin,thin
724,0.75,0.86,fat,fat
725,0.35,0.975,thin,thin
726,0.72,0.8,fat,fat
727,0.53,0.715,fat,fat
728,0.36,0.705,thin,thin
729,0.59,0.845,normal,normal
730,0.62,0.89,normal,normal
731,0.36,0.975,thin,thin
732,0.7,0.765,fat,fat
733,0.77,0.955,normal,normal
734,0.59,0.655,fat,fat
735,0.51,0.95,thin,thin
736,0.58,0.635,fat,fat
737,0.68,0.735,fat,fat
738,0.57,0.9,thin,thin
739,0.35,0.99,thin,thin
740,0.55,0.945,thin,thin
741,0.58,0.91,thin,thin
742,0.62,0.78,fat,fat
743,0.56,0.675,fat,fat
744,0.77,1.0,normal,normal
745,0.75,0.705,fat,fat
746,0.49,0.605,fat,fat
747,0.73,0.975,normal,normal
748,0.47,0.94,thin,thin
749,0.63,0.985,thin,thin
750,0.35,0.67,normal,normal
751,0.62,0.9,normal,normal
752,0.39,0.74,thin,thin
753,0.46,0.9,thin,thin
754,0.67,0.825,normal,normal
755,0.8,0.94,normal,normal
756,0.57,0.625,fat,fat
757,0.4,0.98,thin,thin
758,0.68,0.95,normal,normal
759,0.69,0.895,normal,normal
760,0.36,0.76,thin,thin
761,0.45,0.74,normal,normal
762,0.69,0.93,normal,normal
763,0.57,0.61,fat,fat
764,0.51,0.925,thin,thin
765,0.56,0.995,thin,thin
766,0.63,0.8,normal,normal
767,0.4,0.645,normal,normal
768,0.56,0.635,fat,fat
769,0.47,0.82,thin,thin
770,0.55,0.795,normal,normal
771,0.72,0.995,thin,normal
772,0.64,0.86,normal,normal
773,0.8,0.955,normal,normal
774,0.79,0.88,fat,fat
775,0.39,0.895,thin,thin
776,0.76,0.945,normal,normal
777,0.6,0.7,fat,fat
778,0.55,0.875,thin,thin
779,0.7,0.79,fat,fat
780,0.61,0.88,normal,normal
781,0.47,0.98,thin,thin
782,0.65,0.68,fat,fat
783,0.63,0.86,normal,normal
784,0.42,0.82,thin,thin
785,0.51,0.605,fat,fat
786,0.67,0.94,normal,normal
787,0.7,0.94,normal,normal
788,0.75,0.645,fat,fat
789,0.66,0.905,normal,normal
790,0.66,0.65,fat,fat
791,0.44,0.67,normal,normal
792,0.49,0.63,fat,fat
793,0.4,0.95,thin,thin
794,0.52,0.96,thin,thin
795,0.38,0.965,thin,thin
796,0.75,0.815,fat,fat
797,0.6,0.685,fat,fat
798,0.46,0.67,fat,fat
799,0.45,0.985,thin,thin
800,0.37,0.93,thin,thin
801,0.76,0.82,fat,fat
802,0.37,0.975,thin,thin
803,0.64,0.935,thin,thin
804,0.43,0.75,normal,normal
805,0.8,0.82,fat,fat
806,0.54,0.965,thin,thin
807,0.59,0.955,thin,thin
808,0.67,0.67,fat,fat
809,0.51,0.925,thin,thin
810,0.5,0.925,thin,thin
811,0.41,0.89,thin,thin
812,0.61,0.625,fat,fat
813,0.63,0.66,fat,fat
814,0.37,0.675,normal,normal
815,0.45,0.815,thin,thin
816,0.65,0.885,normal,normal
817,0.66,0.875,normal,normal
818,0.43,0.815,thin,thin
819,0.61,0.9,normal,normal
820,0.56,0.835,normal,normal
821,0.42,0.765,thin,thin
822,0.72,0.84,fat,fat
823,0.8,0.72,fat,fat
824,0.68,0.67,fat,fat
825,0.57,0.865,normal,normal
826,0.43,0.655,fat,normal
827,0.53,0.9,thin,thin
828,0.55,0.635,fat,fat
829,0.6,0.625,fat,fat
830,0.68,0.805,fat,fat
831,0.38,0.89,thin,thin
832,0.79,0.7,fat,fat
833,0.39,0.635,normal,normal
834,0.55,0.81,normal,normal
835,0.54,0.615,fat,fat
836,0.77,0.81,fat,fat
837,0.8,0.93,normal,normal
838,0.66,0.785,fat,fat
839,0.7,0.81,fat,fat
840,0.8,0.77,fat,fat
841,0.57,0.62,fat,fat
842,0.49,0.675,fat,fat
843,0.63,0.875,normal,normal
844,0.64,0.635,fat,fat
845,0.39,0.975,thin,thin
846,0.71,0.7,fat,fat
847,0.5,0.7,fat,fat
848,0.45,0.81,thin,thin
849,0.52,0.825,normal,normal
850,0.37,0.64,normal,normal
851,0.73,0.95,normal,normal
852,0.47,0.78,normal,normal
853,0.52,0.855,thin,thin
854,0.74,0.84,fat,fat
855,0.73,0.98,normal,normal
856,0.76,0.835,fat,fat
857,0.65,0.605,fat,fat
858,0.76,0.965,normal,normal
859,0.56,0.78,normal,normal
860,0.78,0.905,normal,normal
861,0.68,0.78,fat,fat
862,0.42,0.65,normal,normal
863,0.64,0.955,thin,thin
864,0.74,0.785,fat,fat
865,0.45,0.88,thin,thin
866,0.68,0.655,fat,fat
867,0.48,0.95,thin,thin
868,0.42,0.755,thin,thin
869,0.51,0.805,normal,normal
870,0.64,0.975,thin,thin
871,0.51,0.975,thin,thin
872,0.71,1.0,thin,thin
